WEEK,start_date,end_date,SEASON
36,3-Sep-18,9-Sep-18,2017-18
37,10-Sep-18,16-Sep-18,2017-18
38,17-Sep-18,23-Sep-18,2017-18
39,24-Sep-18,30-Sep-18,2017-18
40,1-Oct-18,7-Oct-18,2017-18
41,8-Oct-18,14-Oct-18,2017-18
42,15-Oct-18,21-Oct-18,2017-18
43,22-Oct-18,28-Oct-18,2017-18
44,29-Oct-18,4-Nov-18,2017-18
45,5-Nov-18,11-Nov-18,2017-18
46,12-Nov-18,18-Nov-18,2017-18
47,19-Nov-18,25-Nov-18,2017-18
48,26-Nov-18,2-Dec-18,2017-18
49,3-Dec-18,9-Dec-18,2017-18
50,10-Dec-18,16-Dec-18,2017-18
51,17-Dec-18,23-Dec-18,2017-18
52,24-Dec-18,30-Dec-18,2017-18
1,2-Jan-17,8-Jan-17,2016-17
2,9-Jan-17,15-Jan-17,2016-17
3,16-Jan-17,22-Jan-17,2016-17
4,23-Jan-17,29-Jan-17,2016-17
5,30-Jan-17,5-Feb-17,2016-17
6,6-Feb-17,12-Feb-17,2016-17
7,13-Feb-17,19-Feb-17,2016-17
8,20-Feb-17,26-Feb-17,2016-17
9,27-Feb-17,5-Mar-17,2016-17
10,6-Mar-17,12-Mar-17,2016-17
11,13-Mar-17,19-Mar-17,2016-17
12,20-Mar-17,26-Mar-17,2016-17
13,27-Mar-17,2-Apr-17,2016-17
14,3-Apr-17,9-Apr-17,2016-17
15,10-Apr-17,16-Apr-17,2016-17
16,17-Apr-17,23-Apr-17,2016-17
17,24-Apr-17,30-Apr-17,2016-17
18,1-May-17,7-May-17,2016-17
19,8-May-17,14-May-17,2016-17
20,15-May-17,21-May-17,2016-17
21,22-May-17,28-May-17,2016-17
22,29-May-17,4-Jun-17,2016-17
23,5-Jun-17,11-Jun-17,2016-17
24,12-Jun-17,18-Jun-17,2016-17
25,19-Jun-17,25-Jun-17,2016-17
26,26-Jun-17,2-Jul-17,2016-17
27,3-Jul-17,9-Jul-17,2016-17
28,10-Jul-17,16-Jul-17,2016-17
29,17-Jul-17,23-Jul-17,2016-17
30,24-Jul-17,30-Jul-17,2016-17
31,31-Jul-17,6-Aug-17,2016-17
32,7-Aug-17,13-Aug-17,2016-17
33,14-Aug-17,20-Aug-17,2016-17
34,21-Aug-17,27-Aug-17,2016-17
35,28-Aug-17,3-Sep-17,2016-17
36,4-Sep-17,10-Sep-17,2016-17
37,11-Sep-17,17-Sep-17,2016-17
38,18-Sep-17,24-Sep-17,2016-17
39,25-Sep-17,1-Oct-17,2016-17
40,2-Oct-17,8-Oct-17,2016-17
41,9-Oct-17,15-Oct-17,2016-17
42,16-Oct-17,22-Oct-17,2016-17
43,23-Oct-17,29-Oct-17,2016-17
44,30-Oct-17,5-Nov-17,2016-17
45,6-Nov-17,12-Nov-17,2016-17
46,13-Nov-17,19-Nov-17,2016-17
47,20-Nov-17,26-Nov-17,2016-17
48,27-Nov-17,3-Dec-17,2016-17
49,4-Dec-17,10-Dec-17,2016-17
50,11-Dec-17,17-Dec-17,2016-17
51,18-Dec-17,24-Dec-17,2016-17
52,25-Dec-17,31-Dec-17,2016-17
1,4-Jan-16,10-Jan-16,2015-16
2,11-Jan-16,17-Jan-16,2015-16
3,18-Jan-16,24-Jan-16,2015-16
4,25-Jan-16,31-Jan-16,2015-16
5,1-Feb-16,7-Feb-16,2015-16
6,8-Feb-16,14-Feb-16,2015-16
7,15-Feb-16,21-Feb-16,2015-16
8,22-Feb-16,28-Feb-16,2015-16
9,29-Feb-16,6-Mar-16,2015-16
10,7-Mar-16,13-Mar-16,2015-16
11,14-Mar-16,20-Mar-16,2015-16
12,21-Mar-16,27-Mar-16,2015-16
13,28-Mar-16,3-Apr-16,2015-16
14,4-Apr-16,10-Apr-16,2015-16
15,11-Apr-16,17-Apr-16,2015-16
16,18-Apr-16,24-Apr-16,2015-16
17,25-Apr-16,1-May-16,2015-16
18,2-May-16,8-May-16,2015-16
19,9-May-16,15-May-16,2015-16
20,16-May-16,22-May-16,2015-16
21,23-May-16,29-May-16,2015-16
22,30-May-16,5-Jun-16,2015-16
23,6-Jun-16,12-Jun-16,2015-16
24,13-Jun-16,19-Jun-16,2015-16
25,20-Jun-16,26-Jun-16,2015-16
26,27-Jun-16,3-Jul-16,2015-16
27,4-Jul-16,10-Jul-16,2015-16
28,11-Jul-16,17-Jul-16,2015-16
29,18-Jul-16,24-Jul-16,2015-16
30,25-Jul-16,31-Jul-16,2015-16
31,1-Aug-16,7-Aug-16,2015-16
32,8-Aug-16,14-Aug-16,2015-16
33,15-Aug-16,21-Aug-16,2015-16
34,22-Aug-16,28-Aug-16,2015-16
35,29-Aug-16,4-Sep-16,2015-16
36,5-Sep-16,11-Sep-16,2015-16
37,12-Sep-16,18-Sep-16,2015-16
38,19-Sep-16,25-Sep-16,2015-16
39,26-Sep-16,2-Oct-16,2015-16
40,3-Oct-16,9-Oct-16,2015-16
41,10-Oct-16,16-Oct-16,2015-16
42,17-Oct-16,23-Oct-16,2015-16
43,24-Oct-16,30-Oct-16,2015-16
44,31-Oct-16,6-Nov-16,2015-16
45,7-Nov-16,13-Nov-16,2015-16
46,14-Nov-16,20-Nov-16,2015-16
47,21-Nov-16,27-Nov-16,2015-16
48,28-Nov-16,4-Dec-16,2015-16
49,5-Dec-16,11-Dec-16,2015-16
50,12-Dec-16,18-Dec-16,2015-16
51,19-Dec-16,25-Dec-16,2015-16
52,26-Dec-16,1-Jan-17,2015-16
1,29-Dec-14,4-Jan-15,2014-15
2,5-Jan-15,11-Jan-15,2014-15
3,12-Jan-15,18-Jan-15,2014-15
