region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 3,2015,44,1171,2,6,0.683177,0.170794,0.512383,2015-11-01
HHS Regions,Region 4,2015,44,3345,45,33,2.33184,1.34529,0.986547,2015-11-01
HHS Regions,Region 5,2015,44,2645,13,10,0.869565,0.491493,0.378072,2015-11-01
HHS Regions,Region 6,2015,44,1985,16,7,1.15869,0.806045,0.352645,2015-11-01
HHS Regions,Region 7,2015,44,783,2,4,0.766284,0.255428,0.510856,2015-11-01
HHS Regions,Region 8,2015,44,1028,1,1,0.194553,0.0972763,0.0972763,2015-11-01
HHS Regions,Region 9,2015,44,1107,11,3,1.26468,0.993677,0.271003,2015-11-01
HHS Regions,Region 10,2015,44,476,1,1,0.420168,0.210084,0.210084,2015-11-01
HHS Regions,Region 1,2015,45,682,2,1,0.439883,0.293255,0.146628,2015-11-08
HHS Regions,Region 2,2015,45,1443,6,2,0.554401,0.4158,0.1386,2015-11-08
HHS Regions,Region 3,2015,45,1203,3,0,0.249377,0.249377,0,2015-11-08
HHS Regions,Region 4,2015,45,3401,57,59,3.41076,1.67598,1.73478,2015-11-08
HHS Regions,Region 5,2015,45,2623,23,3,0.991231,0.876859,0.114373,2015-11-08
HHS Regions,Region 6,2015,45,2254,20,15,1.5528,0.887311,0.665484,2015-11-08
HHS Regions,Region 7,2015,45,715,1,0,0.13986,0.13986,0,2015-11-08
HHS Regions,Region 8,2015,45,1102,2,0,0.181488,0.181488,0,2015-11-08
HHS Regions,Region 9,2015,45,1161,8,5,1.11972,0.689061,0.430663,2015-11-08
HHS Regions,Region 10,2015,45,464,0,1,0.215517,0,0.215517,2015-11-08
HHS Regions,Region 1,2015,46,779,1,1,0.256739,0.12837,0.12837,2015-11-15
HHS Regions,Region 2,2015,46,1512,4,3,0.462963,0.26455,0.198413,2015-11-15
HHS Regions,Region 3,2015,46,1239,2,6,0.645682,0.161421,0.484262,2015-11-15
HHS Regions,Region 4,2015,46,3393,36,56,2.71146,1.06101,1.65046,2015-11-15
HHS Regions,Region 5,2015,46,2735,15,8,0.840951,0.548446,0.292505,2015-11-15
HHS Regions,Region 6,2015,46,2116,20,17,1.74858,0.94518,0.803403,2015-11-15
HHS Regions,Region 7,2015,46,689,2,4,0.870827,0.290276,0.580552,2015-11-15
HHS Regions,Region 8,2015,46,1038,0,0,0,0,0,2015-11-15
HHS Regions,Region 9,2015,46,1200,4,2,0.5,0.333333,0.166667,2015-11-15
HHS Regions,Region 10,2015,46,549,0,1,0.182149,0,0.182149,2015-11-15
HHS Regions,Region 1,2015,47,788,2,1,0.380711,0.253807,0.126904,2015-11-22
HHS Regions,Region 2,2015,47,1374,11,4,1.0917,0.800582,0.291121,2015-11-22
HHS Regions,Region 3,2015,47,1041,1,3,0.384246,0.0960615,0.288184,2015-11-22
HHS Regions,Region 4,2015,47,3725,75,64,3.73154,2.01342,1.71812,2015-11-22
HHS Regions,Region 5,2015,47,2529,10,5,0.59312,0.395413,0.197707,2015-11-22
HHS Regions,Region 6,2015,47,2464,12,11,0.933442,0.487013,0.446429,2015-11-22
HHS Regions,Region 7,2015,47,617,0,1,0.162075,0,0.162075,2015-11-22
HHS Regions,Region 8,2015,47,1103,2,1,0.271985,0.181324,0.0906618,2015-11-22
HHS Regions,Region 9,2015,47,1060,5,1,0.566038,0.471698,0.0943396,2015-11-22
HHS Regions,Region 10,2015,47,533,1,1,0.375235,0.187617,0.187617,2015-11-22
HHS Regions,Region 1,2015,48,780,2,1,0.384615,0.25641,0.128205,2015-11-29
HHS Regions,Region 2,2015,48,1661,15,2,1.02348,0.90307,0.120409,2015-11-29
HHS Regions,Region 3,2015,48,1204,4,2,0.498339,0.332226,0.166113,2015-11-29
HHS Regions,Region 4,2015,48,3270,66,49,3.51682,2.01835,1.49847,2015-11-29
HHS Regions,Region 5,2015,48,2883,15,4,0.659036,0.520291,0.138744,2015-11-29
HHS Regions,Region 6,2015,48,2494,12,11,0.922213,0.481155,0.441059,2015-11-29
HHS Regions,Region 7,2015,48,752,4,0,0.531915,0.531915,0,2015-11-29
HHS Regions,Region 8,2015,48,1253,4,1,0.399042,0.319234,0.0798085,2015-11-29
HHS Regions,Region 9,2015,48,1279,12,7,1.48554,0.938233,0.547303,2015-11-29
HHS Regions,Region 10,2015,48,625,11,4,2.4,1.76,0.64,2015-11-29
HHS Regions,Region 1,2015,49,821,2,5,0.852619,0.243605,0.609013,2015-12-06
HHS Regions,Region 2,2015,49,1670,14,4,1.07784,0.838323,0.239521,2015-12-06
HHS Regions,Region 3,2015,49,1337,2,1,0.224383,0.149589,0.0747943,2015-12-06
HHS Regions,Region 4,2015,49,3573,66,62,3.58242,1.84719,1.73524,2015-12-06
HHS Regions,Region 5,2015,49,2968,15,7,0.74124,0.505391,0.235849,2015-12-06
HHS Regions,Region 6,2015,49,2481,14,13,1.08827,0.564289,0.523982,2015-12-06
HHS Regions,Region 7,2015,49,749,6,2,1.06809,0.801068,0.267023,2015-12-06
HHS Regions,Region 8,2015,49,1238,6,5,0.88853,0.484653,0.403877,2015-12-06
HHS Regions,Region 9,2015,49,1214,8,3,0.906096,0.658979,0.247117,2015-12-06
HHS Regions,Region 10,2015,49,622,7,4,1.76849,1.1254,0.643087,2015-12-06
HHS Regions,Region 1,2015,50,842,1,2,0.356295,0.118765,0.23753,2015-12-13
HHS Regions,Region 2,2015,50,1835,12,5,0.926431,0.653951,0.27248,2015-12-13
HHS Regions,Region 3,2015,50,1295,2,2,0.30888,0.15444,0.15444,2015-12-13
HHS Regions,Region 4,2015,50,4058,162,130,7.19566,3.99211,3.20355,2015-12-13
HHS Regions,Region 5,2015,50,2954,16,5,0.7109,0.541638,0.169262,2015-12-13
HHS Regions,Region 6,2015,50,2613,13,15,1.07157,0.497512,0.574053,2015-12-13
HHS Regions,Region 7,2015,50,757,8,2,1.321,1.0568,0.264201,2015-12-13
HHS Regions,Region 8,2015,50,1235,4,14,1.45749,0.323887,1.1336,2015-12-13
HHS Regions,Region 9,2015,50,1233,14,10,1.94647,1.13544,0.81103,2015-12-13
HHS Regions,Region 10,2015,50,536,12,7,3.54478,2.23881,1.30597,2015-12-13
HHS Regions,Region 1,2015,51,886,9,2,1.24153,1.0158,0.225734,2015-12-20
HHS Regions,Region 2,2015,51,1701,11,4,0.881834,0.646678,0.235156,2015-12-20
HHS Regions,Region 3,2015,51,1295,8,7,1.1583,0.617761,0.540541,2015-12-20
HHS Regions,Region 4,2015,51,3618,92,84,4.86457,2.54284,2.32172,2015-12-20
HHS Regions,Region 5,2015,51,2831,25,7,1.13034,0.88308,0.247262,2015-12-20
HHS Regions,Region 6,2015,51,2795,27,25,1.86047,0.966011,0.894454,2015-12-20
HHS Regions,Region 7,2015,51,692,1,3,0.578035,0.144509,0.433526,2015-12-20
HHS Regions,Region 8,2015,51,1201,18,13,2.58118,1.49875,1.08243,2015-12-20
HHS Regions,Region 9,2015,51,1333,23,18,3.07577,1.72543,1.35034,2015-12-20
HHS Regions,Region 10,2015,51,526,6,3,1.71103,1.14068,0.570342,2015-12-20
HHS Regions,Region 1,2015,52,991,6,1,0.706357,0.605449,0.100908,2015-12-27
HHS Regions,Region 2,2015,52,1774,23,13,2.02931,1.29651,0.732807,2015-12-27
HHS Regions,Region 3,2015,52,1596,10,6,1.00251,0.626566,0.37594,2015-12-27
HHS Regions,Region 4,2015,52,3950,109,108,5.49367,2.75949,2.73418,2015-12-27
HHS Regions,Region 5,2015,52,3316,15,6,0.633293,0.452352,0.180941,2015-12-27
HHS Regions,Region 6,2015,52,2808,20,16,1.28205,0.712251,0.569801,2015-12-27
HHS Regions,Region 7,2015,52,777,4,0,0.514801,0.514801,0,2015-12-27
HHS Regions,Region 8,2015,52,1506,24,19,2.85525,1.59363,1.26162,2015-12-27
HHS Regions,Region 9,2015,52,1465,40,19,4.0273,2.73038,1.29693,2015-12-27
HHS Regions,Region 10,2015,52,682,13,12,3.66569,1.90616,1.75953,2015-12-27
HHS Regions,Region 1,2016,1,1181,12,5,1.43946,1.01609,0.42337,2016-01-03
HHS Regions,Region 2,2016,1,2336,27,5,1.36986,1.15582,0.214041,2016-01-03
HHS Regions,Region 3,2016,1,1637,6,3,0.549786,0.366524,0.183262,2016-01-03
HHS Regions,Region 4,2016,1,3497,94,54,4.2322,2.68802,1.54418,2016-01-03
HHS Regions,Region 5,2016,1,3510,56,12,1.93732,1.59544,0.34188,2016-01-03
HHS Regions,Region 6,2016,1,2838,34,17,1.79704,1.19803,0.599013,2016-01-03
HHS Regions,Region 7,2016,1,767,7,3,1.30378,0.912647,0.391134,2016-01-03
HHS Regions,Region 8,2016,1,1583,43,25,4.29564,2.71636,1.57928,2016-01-03
HHS Regions,Region 9,2016,1,1714,99,36,7.87631,5.77596,2.10035,2016-01-03
HHS Regions,Region 10,2016,1,723,18,24,5.80913,2.48963,3.3195,2016-01-03
HHS Regions,Region 1,2016,2,1025,35,3,3.70732,3.41463,0.292683,2016-01-10
HHS Regions,Region 2,2016,2,2126,53,9,2.91627,2.49294,0.42333,2016-01-10
HHS Regions,Region 3,2016,2,1445,7,5,0.83045,0.484429,0.346021,2016-01-10
HHS Regions,Region 4,2016,2,3381,197,63,7.69003,5.82668,1.86335,2016-01-10
HHS Regions,Region 5,2016,2,3232,52,5,1.76361,1.60891,0.154703,2016-01-10
HHS Regions,Region 6,2016,2,2767,43,22,2.34911,1.55403,0.795085,2016-01-10
HHS Regions,Region 7,2016,2,755,13,1,1.8543,1.72185,0.13245,2016-01-10
HHS Regions,Region 8,2016,2,1499,20,29,3.26885,1.33422,1.93462,2016-01-10
HHS Regions,Region 9,2016,2,1725,128,42,9.85507,7.42029,2.43478,2016-01-10
HHS Regions,Region 10,2016,2,734,23,45,9.26431,3.13351,6.13079,2016-01-10
HHS Regions,Region 1,2016,3,1097,39,9,4.37557,3.55515,0.820419,2016-01-17
HHS Regions,Region 2,2016,3,1894,64,7,3.74868,3.37909,0.369588,2016-01-17
HHS Regions,Region 3,2016,3,1264,7,4,0.870253,0.553797,0.316456,2016-01-17
HHS Regions,Region 4,2016,3,3361,211,79,8.62838,6.27789,2.35049,2016-01-17
HHS Regions,Region 5,2016,3,3212,84,10,2.92653,2.61519,0.311333,2016-01-17
HHS Regions,Region 6,2016,3,2775,56,30,3.0991,2.01802,1.08108,2016-01-17
HHS Regions,Region 7,2016,3,775,17,2,2.45161,2.19355,0.258065,2016-01-17
HHS Regions,Region 8,2016,3,1666,46,34,4.80192,2.7611,2.04082,2016-01-17
HHS Regions,Region 9,2016,3,1904,163,74,12.4475,8.56092,3.88655,2016-01-17
HHS Regions,Region 10,2016,3,850,29,66,11.1765,3.41176,7.76471,2016-01-17
HHS Regions,Region 1,2016,4,1273,67,7,5.81304,5.26316,0.549882,2016-01-24
HHS Regions,Region 2,2016,4,2023,98,13,5.4869,4.84429,0.64261,2016-01-24
