2.5%,10%,30%,50%,97.5%,state,type
1274,1362,1457,1521,1753,MI,65-74 years
37,99,163,205,348,MN,65-74 years
80,151,231,282,462,MO,65-74 years
271.975,330,388,425,562,MS,65-74 years
-17,13,41,61,132,MT,65-74 years
-111,-85,-58,-42,16,ND,65-74 years
10,47,88,113,198,NE,65-74 years
13,41,71,94,176,NH,65-74 years
2986,3068,3149,3199,3378,NJ,65-74 years
-16.024999999999977,25,66,93,187,NM,65-74 years
-91,-41,13,48,172,NV,65-74 years
2338,2420,2513,2573,2787,NY,65-74 years
5778,5853,5924,5969,6134,NYC,65-74 years
344,441,541,608,858,OH,65-74 years
-46,10,70.69999999999982,111,254,OK,65-74 years
-86,-25,36,77,219,OR,65-74 years
751,859,965,1035,1286,PA,65-74 years
83,111,139,157,219,RI,65-74 years
419,493,563,610,774,SC,65-74 years
6,33,59,76,135,SD,65-74 years
48.97500000000002,133,219,277,483.02499999999964,TN,65-74 years
1048.975,1189,1325,1417,1749,TX,65-74 years
-22,21,65,92,189,UT,65-74 years
349,424,502,553,743,VA,65-74 years
-34,-11,13,28,80,VT,65-74 years
14.975000000000023,90,165,215,383.02499999999964,WA,65-74 years
30.975000000000023,98,170,216,385.02499999999964,WI,65-74 years
-457,-412,-367,-336,-232.97500000000036,WV,65-74 years
-61,-40,-18,-4,44,WY,65-74 years
33380.775,36482,38777.7,40408,45611,US.agg,75-84 years
-48,-28,-7,6,50,AK,75-84 years
377,446,523,578,760,AL,75-84 years
-92,-32,28,69,210,AR,75-84 years
999,1081,1170,1227,1431,AZ,75-84 years
2238,2407,2577,2687,3074,CA,75-84 years
241,306,371,417,574,CO,75-84 years
95,116,138,153,201,DC,75-84 years
161,191,221,241,314,DE,75-84 years
1366.9500000000003,1532,1689,1795,2170,FL,75-84 years
785.975,878,972,1037,1258,GA,75-84 years
-55,-21,11,32,108,HI,75-84 years
-139,-84,-27,12,152,IA,75-84 years
-156.02499999999998,-114,-70,-41,66,ID,75-84 years
1986,2092,2198,2268,2516,IL,75-84 years
658,746,832,888,1097,IN,75-84 years
-157,-102,-50,-13,109,KS,75-84 years
-183,-110,-33,17,182,KY,75-84 years
1021,1090,1155,1199,1357,LA,75-84 years
2061,2137,2216,2268,2455,MA,75-84 years
1019,1089,1158,1204,1379,MD,75-84 years
-154,-114,-71,-43,57,ME,75-84 years
1642,1745.9,1852,1919,2169,MI,75-84 years
105,174,251,300,469,MN,75-84 years
278,361,446,501,697,MO,75-84 years
394,454,513,553,689,MS,75-84 years
-155,-120,-84,-62,18,MT,75-84 years
-70,-42,-14,5,69,ND,75-84 years
-88,-48,-5,25,123,NE,75-84 years
9,47,83,108,195,NH,75-84 years
4218,4301,4389,4449,4664.025,NJ,75-84 years
71,113,157,186,290,NM,75-84 years
11,67,123,161,295,NV,75-84 years
2896,2995,3102,3172,3417,NY,75-84 years
6514,6589,6663,6712,6888,NYC,75-84 years
515.975,629,739,813,1087,OH,75-84 years
-97,-29,37,80,233,OK,75-84 years
-75,-14,54,97,250,OR,75-84 years
1018.975,1137.9,1255,1337,1618,PA,75-84 years
89,123,155,176,252,RI,75-84 years
390,459,533,583,761,SC,75-84 years
-55,-26,3,23,90,SD,75-84 years
-42,48,135,194.5,410,TN,75-84 years
1446,1592,1740,1839,2194,TX,75-84 years
-30,19,67,100,209,UT,75-84 years
717,802,889.6999999999998,949.5,1160,VA,75-84 years
12,40,66,82,138,VT,75-84 years
24,101,180,232,426,WA,75-84 years
-243,-163,-82,-29,159,WI,75-84 years
-385,-336,-288,-257,-143,WV,75-84 years
-19,4,28,43,94,WY,75-84 years
43869.45,47437.899999999994,49986.7,51722.5,57613.2,US.agg,85 years and older
-117,-98,-78,-64,-19,AK,85 years and older
346.975,420,496,545,720,AL,85 years and older
-74,-19,41,80,218,AR,85 years and older
846,932,1022,1084,1297,AZ,85 years and older
3180,3359,3563,3689,4152.025,CA,85 years and older
508,585,660,709,887,CO,85 years and older
167,190,214,229,281,DC,85 years and older
237,271,304,327,407,DE,85 years and older
1687.975,1874,2055,2170,2588.0249999999996,FL,85 years and older
1079.975,1175,1269,1329.5,1548.0249999999996,GA,85 years and older
-204.02499999999998,-159,-111,-81,22.024999999999636,HI,85 years and older
-76,-8,61,107,275.02499999999964,IA,85 years and older
-166,-114,-67,-35,75,ID,85 years and older
2502,2628,2754,2834,3123,IL,85 years and older
935,1028,1117,1179,1398,IN,85 years and older
-86,-23,41,82,232,KS,85 years and older
-90.02499999999998,-18,52,99,268,KY,85 years and older
1120.975,1190,1257,1304,1465,LA,85 years and older
3184,3287,3394,3462,3698,MA,85 years and older
1416,1493,1576,1629,1823,MD,85 years and older
-118.02499999999998,-73.09999999999991,-26,6,117,ME,85 years and older
1557,1668,1788,1866,2143,MI,85 years and older
340,416,502,559,768,MN,85 years and older
246,337,422,481,690,MO,85 years and older
355.975,409,466,505,636,MS,85 years and older
-61.02499999999998,-26,11,36,124,MT,85 years and older
-109.02499999999998,-73,-38,-15,64,ND,85 years and older
-95,-49,1.699999999999818,35,155,NE,85 years and older
99,146,192,222,325,NH,85 years and older
