State,Week Ending Date,Predicted (weighted),Unweighted,EstimatedCompletenessfrom2019
Wisconsin,4/25/20,1032,1025,
Wisconsin,5/2/20,1170,1162,
Wisconsin,5/9/20,1082,1074,
Wisconsin,5/16/20,1025,1016,
Wisconsin,5/23/20,1083,1071,
Wisconsin,5/30/20,1146,1131,
Wisconsin,6/6/20,1039,1023,
Wisconsin,6/13/20,1032,1010,
Wisconsin,6/20/20,1063,1028,
Wisconsin,6/27/20,977,905,
Wisconsin,7/4/20,805,660,
Wyoming,1/4/20,144,144,
Wyoming,1/11/20,81,81,
Wyoming,1/18/20,103,103,
Wyoming,1/25/20,98,96,
Wyoming,2/1/20,96,94,
Wyoming,2/8/20,99,97,
Wyoming,2/15/20,77,75,
Wyoming,2/22/20,103,101,
Wyoming,2/29/20,102,100,
Wyoming,3/7/20,82,80,
Wyoming,3/14/20,87,85,
Wyoming,3/21/20,120,117,
Wyoming,3/28/20,90,88,
Wyoming,4/4/20,126,123,
Wyoming,4/11/20,104,102,
Wyoming,4/18/20,91,89,
Wyoming,4/25/20,100,98,
Wyoming,5/2/20,70,68,
Wyoming,5/9/20,85,83,
Wyoming,5/16/20,103,100,
Wyoming,5/23/20,99,96,
Wyoming,5/30/20,82,79,
Wyoming,6/6/20,103,99,
Wyoming,6/13/20,93,88,
Wyoming,6/20/20,87,79,
Wyoming,6/27/20,69,57,
Wyoming,7/4/20,95,63,
