"","week","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York City","New York","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1",2,0.606530659712633,0.406569659740599,0.740818220681718,0.740818220681718,0.740818220681718,0.818730753077982,0.49658530379141,0.449328964117222,0.818730753077982,0.548811636094026,0.818730753077982,0.90483741803596,0.740818220681718,0.548811636094026,0.740818220681718,0.818730753077982,0.49658530379141,0.449328964117222,1,0.818730753077982,0.818730753077982,0.740818220681718,0.818730753077982,0.740818220681718,0.670320046035639,0.49658530379141,0.606530659712633,0.740818220681718,1,0.670320046035639,0.548811636094026,0.818730753077982,0.90483741803596,0.301194211912202,0.367879441171442,0.548811636094026,0.49658530379141,0.818730753077982,0.201896517994655,0.740818220681718,0.670320046035639,0.740818220681718,0.606530659712633,0.90483741803596,0.90483741803596,0.740818220681718,0.670320046035639,0.246596963941606,0.818730753077982,0.670320046035639
"2",3,0.789214183765368,0.653166623682206,0.906117108903304,0.890386839904353,0.906117108903304,0.954066036314595,0.719715463939839,0.695925928058828,0.954066036314595,0.750708154088682,0.954066036314595,1.00509626175876,0.876153503918331,0.795408600035633,0.8632746489347,0.929533911440316,0.698481821786065,0.672459124265651,1.0202419114458,0.941187181330964,0.929533911440316,0.890386839904353,0.885936265817732,0.8632746489347,0.819888665258274,0.769117096825422,0.829660819861063,0.876153503918331,1.03337326996033,0.872216564030295,0.771941796242456,0.909448706367394,0.972042930775709,0.368399724651952,0.669073653083645,0.750708154088682,0.698481821786065,0.929533911440316,0.448493481936262,0.906117108903304,0.893450206184069,0.906117108903304,0.829660819861063,1.01564057639829,0.979110996250293,0.876153503918331,0.872216564030295,0.653166623682206,0.954066036314595,0.853003570088374
"3",4,0.871299182389267,0.775623051935188,0.939490378863631,0.940173908272217,0.955904177271168,0.987439306274921,0.810433417229252,0.81838235631181,0.984263419736913,0.850966997811486,0.981389758761887,1.02009183857924,0.916915707896697,0.877493598659532,0.913061717302564,0.962907181400642,0.809284980148399,0.794915552518633,1.02697985844489,0.978070348732204,0.954257437910655,0.940173908272217,0.919309535778058,0.913061717302564,0.894162243472608,0.918685716048057,0.911745818484962,0.936963566543549,1.03836486386724,0.917265766423852,0.862659749531869,0.946331873768634,0.990358569664443,0.375137671651037,0.851757177136379,0.861511312451016,0.833817105022678,0.970296115418682,0.671623642084692,0.955904177271168,0.954260268809287,0.961140328959712,0.911745818484962,1.03063615321877,0.986557579321218,0.925940572286195,0.933026626655513,0.788501906918818,0.984263419736913,0.935088568712273
"4",5,0.916348384782825,0.857708050559086,0.950599375401873,0.964897434742556,0.976146088716973,0.999716646177989,0.85548261962281,0.88558786905156,0.992493166785933,0.905990217867893,0.993667098664956,1.02753842165017,0.935231346785431,0.914376766060772,0.933303628748368,0.979479856802403,0.876490492888149,0.862121065258383,1.02945861062156,0.994643024133965,0.964309273655289,0.964897434742556,0.937625174666792,0.935432489158729,0.931045410873848,0.952058986008383,0.95679502087852,0.964287288990841,1.04171082932471,0.937507677869657,0.903421953510235,0.962904549170396,1.00041040540908,0.381875618650123,0.926030755350713,0.922321375076234,0.915902103646576,0.988611754307416,0.794080070337674,0.97247685267293,0.987633538769613,0.983511100815877,0.941943201907281,1.03366370796415,0.987304165129594,0.94831134414236,0.949599302057274,0.862775485133152,0.995372416275155,0.965285952134591
"5",6,0.93871915663899,0.918518113184304,0.958045958472797,0.978465993754757,0.987255085255215,1.00716322924891,0.896244823601176,0.935374937419424,0.995232611604701,0.939363487828219,0.998658692571866,1.02978128936965,0.944326623887127,0.936747537916937,0.946872187760569,0.987709603851423,0.909863762848475,0.902883269236749,1.03096204981453,1.00373830123566,0.970406020220804,0.981470110144318,0.946720451768488,0.947709829061798,0.958369133321141,0.959505569079308,0.979165792734685,0.982602927879575,1.04395369704419,0.946602954971353,0.930745675957527,0.971134296219416,1.00650715197459,0.385962390088587,0.953354477798006,0.95569464503656,0.952785271047816,0.996841501356436,0.861285583077423,0.981572129774625,1.00420621417137,0.997079659828078,0.955511760919481,1.0345755899297,0.989140469906623,0.959420340680602,0.953686073495738,0.912562553501016,1.00281899934608,0.983601591023325
"6",7,0.952287715651191,0.932086672196505,0.96174382218928,0.98298257469737,0.993351831820731,1.01215482315582,0.933127991002416,0.965572320841742,0.996894168877875,0.959605399274023,1.00068812320816,1.03181072000595,0.949318217794037,0.951743114737415,0.951863781667479,0.992701197758333,0.93223453470464,0.930206991684042,1.03279835459156,1.00782507267412,0.973145465039573,0.99257910668256,0.952817198334003,0.955156412132722,0.980739905177306,0.964497162986218,0.987395539783705,0.993711924417818,1.04486557900975,0.951594548878263,0.950987587403332,0.975650877162028,1.0114987458815,0.393408973159511,0.964463474336248,0.970690221857037,0.966353830060017,1.00135808229905,0.898168750478663,0.989801876823645,1.01030296073689,1.004526242899,0.963741507968502,1.03457726442291,0.991169900542919,0.966158287679688,0.957383937212221,0.939886275948309,1.00555844416485,0.991831338072345
"7",8,0.959025662650277,0.950402311085239,0.963986689908766,0.986328540154841,0.996697797278202,1.01624159459429,0.955498762858581,0.990295847312082,0.99800794402572,0.971882739177092,1.00204849124571,1.03255730581432,0.95301608151052,0.959972861786435,0.956855375574389,0.996047163215805,0.947230111525118,0.950448903129846,1.03279855964402,1.0108526274195,0.976491430497044,1.00002568975348,0.957333779276616,0.960148006039632,0.997312580579068,0.964949990169105,0.992912104204466,1.0004498714169,1.04652713628292,0.954622103623639,0.958434170474256,0.977487181939057,1.01558551731997,0.409981648561273,0.970560220901764,0.98179921839528,0.973091777059103,1.00383683447572,0.925492472925956,0.995898623389161,1.01333051548227,1.00904282384162,0.969838254534017,1.03580817632558,0.992400812445593,0.972255034245204,0.958887376405198,0.952163615851377,1.00780131188433,0.991914062137902
"8",9,0.964017256557187,0.965397887905717,0.966016120545062,0.989067984973609,0.998940664997688,1.0207581755369,0.977869534714747,1.00861148620082,0.998683482800914,0.98416007908016,1.00452724342238,1.03391767385187,0.955494833687186,0.966710808785521,0.958516932847563,1.00013393465427,0.95833910806336,0.965444479950324,1.03279931204232,1.01268893219653,0.977722342399717,1.00554225417424,0.960679744734087,0.961984310816661,1.00554232762809,0.9669794208054,0.995651549023235,1.00379583687437,1.04652747435727,0.956125542816616,0.963950734895017,0.978990621132035,1.01893148277744,0.437305371008565,0.975551814808674,0.989245801466204,0.978608341479864,1.00586626511201,0.935544308670589,1.00041520433177,1.01832210938918,1.01455938826238,0.9735361182505,1.03630862775902,0.992402052940673,0.974994479063972,0.960001151553043,0.960393362900397,1.00891508703218,0.991975345632955
"9",10,0.966496008733853,0.9690957516222,0.966516571978502,0.989979866939164,1.00077696977472,1.02211854357445,0.986964811816443,1.0153494331999,0.998774907032392,0.993255356181856,1.00457741810443,1.03400909808335,0.956608608835031,0.971702402692431,0.960759800567049,1.00149430269182,0.965077055062446,0.975496315694958,1.03281442436614,1.0135140371198,0.979082710437265,1.01005883511686,0.963419189552856,0.964463062993328,1.01298891069901,0.966979647423413,0.996327087798428,1.00603870459386,1.04652932495847,0.95735645471929,0.972180481944037,0.979737206940411,1.02076778755447,0.487092439376429,0.97803056698534,0.994237395373114,0.980637772116159,1.00709717701468,0.955786220116394,1.00450197577024,1.02080086156584,1.01825725197886,0.975372423027529,1.03635402768879,0.992402071542612,0.977237346783458,0.961837456330072,0.965384956807307,1.00928583057264,0.992126078708051
"10",11,0.968738876453339,0.974612316042961,0.966926306957482,0.990987652368213,1.00228040896769,1.02252827855343,0.991481392759056,1.01718573797693,0.999145650572851,0.999352102747372,1.00460233411416,1.03400977888148,0.957219861596161,0.975048368149902,0.961312884937197,1.00352373332811,0.970593619483206,0.984591592796653,1.03288215310263,1.01487440515734,0.97999459240282,1.01375669883334,0.965662057272341,0.966299367770357,1.01750549164162,0.969719092242181,0.996334592356344,1.00704649002291,1.04654972446188,0.958181559642556,0.974209912580333,0.980190034123298,1.02350723237324,0.597895597738763,0.980273434704826,0.995898952646288,0.981751547264004,1.00860061620766,0.962524167115479,1.00674484348972,1.02246241883902,1.02028668261515,0.976380208456577,1.03635403789775,0.992404331872019,0.979716098960124,0.962040924699083,0.974480233909003,1.01094738784581,0.992329547077061
